Movie,trunc,Release Date,Distributor,Genre
Your Name,Your Name,"Apr 7, 2017",FUNimation,Drama
Call Me by Your Name,Call Me by Your Name,"Nov 24, 2017",Sony Pictures Cla…,Drama
Tiger Zinda Hai,Tiger Zinda Hai,"Dec 22, 2017",Yash Raj Films,Action
The Book of Henry,The Book of Henry,"Jun 16, 2017",Focus Features,Drama
Stronger,Stronger,"Sep 22, 2017",Roadside Attractions,Drama
The Hero,The Hero,"Jun 9, 2017",The Orchard,Drama
Sleight,Sleight,"Apr 28, 2017",High Top Releasing,Action
A United Kingdom,A United Kingdom,"Feb 10, 2017",Fox Searchlight,Drama
Norman: The Moderate Rise a…,Norman: The Moderate,"Apr 14, 2017",Sony Pictures Cla…,Drama
Friend Request,Friend Request,"Sep 22, 2017",Entertainment Stu…,Horror
A Monster Calls,A Monster Calls,"Dec 23, 2016",Focus Features,Drama
Office Christmas Party,Office Christmas Par,"Dec 9, 2016",Paramount Pictures,Comedy
Table 19,Table 19,"Mar 3, 2017",Fox Searchlight,Comedy
Their Finest,Their Finest,"Apr 7, 2017",STX Entertainment,Romantic Comedy
Phoenix Forgotten,Phoenix Forgotten,"Apr 21, 2017",Entertainment Stu…,Horror
Trolls,Trolls,"Nov 4, 2016",20th Century Fox,Adventure
An Inconvenient Sequel,An Inconvenient Sequ,"Jul 28, 2017",Paramount Vantage,Documentary
Til Death Do Us Part,Til Death Do Us Part,"Sep 29, 2017",Novus Content,Thriller/Suspense
Colossal,Colossal,"Apr 7, 2017",Neon,Black Comedy
Dangal,Dangal,"Dec 21, 2016",UTV Communications,Action
Close Encounters of the Thi…,Close Encounters of ,"Nov 16, 1977",Sony Pictures,Drama
Ingrid Goes West,Ingrid Goes West,"Aug 11, 2017",Neon,Black Comedy
2017 Oscar Shorts,2017 Oscar Shorts,"Feb 10, 2017",ShortsHD,Multiple Genres
KEDi,KEDi,"Feb 10, 2017",Oscilloscope Pict…,Documentary
Wolf Warrior 2,Wolf Warrior 2,"Jul 28, 2017",The H Collective,Action
My Cousin Rachel,My Cousin Rachel,"Jun 9, 2017",Fox Searchlight,Drama
Mayweather vs. McGregor,Mayweather vs. McGre,"Aug 26, 2017",Fathom Events,Concert/Perfor…
Hacksaw Ridge,Hacksaw Ridge,"Nov 4, 2016",Lionsgate,Drama
A Question of Faith,A Question of Faith,"Sep 29, 2017",Pure Flix Enterta…,Drama
Is Genesis History?,Is Genesis History?,"Feb 23, 2017",Fathom Events,Documentary
Hazlo Como Hombre,Hazlo Como Hombre,"Sep 1, 2017",Lionsgate,Comedy
Doctor Strange,Doctor Strange,"Nov 4, 2016",Walt Disney,Action
LBJ,LBJ,"Nov 3, 2017",Electric Entertai…,Drama
Tulip Fever,Tulip Fever,"Sep 1, 2017",Weinstein Co.,Drama
The Salesman,The Salesman,"Jan 27, 2017",Cohen Media Group,Drama
T2: Trainspotting,T2: Trainspotting,"Mar 17, 2017",Sony Pictures,Black Comedy
Raees,Raees,"Jan 25, 2017",Zee Studios,Action
"I, Tonya","I, Tonya","Dec 8, 2017",Neon,Black Comedy
The Resurrection of Gavin S…,The Resurrection of ,"Jan 20, 2017",High Top Releasing,Comedy
The Killing of a Sacred Deer,The Killing of a Sac,"Oct 20, 2017",A24,Horror
Collide,Collide,"Feb 24, 2017",Open Road,Action
Jeepers Creepers 3,Jeepers Creepers 3,"Sep 26, 2017",Fathom Events,Horror
The Lovers,The Lovers,"May 5, 2017",A24,Romantic Comedy
Un Padre No Tan Padre,Un Padre No Tan Padr,"Jan 27, 2017",Lionsgate,Comedy
Brad’s Status,Brad’s Status,"Sep 15, 2017",Annapurna Pictures,Comedy
Paterson,Paterson,"Dec 28, 2016",Bleecker Street,Comedy
Good Time,Good Time,"Aug 11, 2017",A24,Drama
Badrinath Ki Dulhania,Badrinath Ki Dulhani,"Mar 10, 2017",FIP,Comedy
Everybody Loves Somebody,Everybody Loves Some,"Feb 17, 2017",Lionsgate,Romantic Comedy
A Quiet Passion,A Quiet Passion,"Apr 14, 2017",Music Box Films,Drama
The Wall,The Wall,"May 12, 2017",Roadside Attractions,Thriller/Suspense
Free Fire,Free Fire,"Apr 21, 2017",A24,Action
The Last Word,The Last Word,"Mar 3, 2017",Bleecker Street,Drama
The Post,The Post,"Dec 22, 2017",20th Century Fox,Drama
Goodbye Christopher Robin,Goodbye Christopher ,"Oct 13, 2017",Fox Searchlight,Drama
Menashe,Menashe,"Jul 28, 2017",A24,Drama
Slamma Jamma,Slamma Jamma,"Mar 24, 2017",Riverrain,Drama
The Comedian,The Comedian,"Feb 3, 2017",Sony Pictures Cla…,Comedy
Jolly LLB 2,Jolly LLB 2,"Feb 10, 2017",FIP,Black Comedy
The Little Hours,The Little Hours,"Jun 30, 2017",Gunpowder & Sky,Black Comedy
Terminator 2: Judgment Day,Terminator 2: Judgme,"Jul 2, 1991",Distrib Films,Action
A Ghost Story,A Ghost Story,"Jul 7, 2017",A24,Drama
Professor Marston & The Won…,Professor Marston & ,"Oct 13, 2017",Annapurna Pictures,Drama
Youth,Youth,"Dec 15, 2017",China Lion Film D…,Drama
The Stray,The Stray,"Oct 6, 2017",Purdie Distribution,Drama
A Taxi Driver,A Taxi Driver,"Aug 11, 2017",Well Go USA,Drama
Inhumans,Inhumans,"Sep 1, 2017",,Action
Jane,Jane,"Oct 20, 2017",Abramorama Films,Documentary
Judwaa 2,Judwaa 2,"Sep 29, 2017",FIP,Action
Elle,Elle,"Nov 11, 2016",Sony Pictures Cla…,Drama
The Wedding Plan,The Wedding Plan,"May 12, 2017",Roadside Attractions,Action
Toni Erdmann,Toni Erdmann,"Dec 25, 2016",Sony Pictures Cla…,Comedy
The Dinner,The Dinner,"May 5, 2017",The Orchard,Drama
Wonder Wheel,Wonder Wheel,"Dec 1, 2017",Amazon Studios,Drama
Personal Shopper,Personal Shopper,"Mar 10, 2017",IFC Films,Thriller/Suspense
My Friend Dahmer,My Friend Dahmer,"Nov 3, 2017",FilmRise,Drama
Julieta,Julieta,"Dec 21, 2016",Sony Pictures Cla…,Drama
Jab Harry Met Sejal,Jab Harry Met Sejal,"Aug 4, 2017",Red Chillies Ente…,Romantic Comedy
Churchill,Churchill,"Jun 2, 2017",Cohen Media Group,Drama
The Sense of an Ending,The Sense of an Endi,"Mar 10, 2017",CBS Films,Drama
3 Idiotas,3 Idiotas,"Jun 2, 2017",Lionsgate,Comedy
The Square,The Square,"Oct 27, 2017",Magnolia Pictures,Drama
The Women’s Balcony,The Women’s Balcony,"Mar 3, 2017",,Comedy
The Trip to Spain,The Trip to Spain,"Aug 11, 2017",IFC Films,Comedy
Step,Step,"Aug 4, 2017",Fox Searchlight,Documentary
Lady Macbeth,Lady Macbeth,"Jul 14, 2017",Roadside Attractions,Drama
Viceroy’s House,Viceroy’s House,"Sep 1, 2017",IFC Films,Drama
The Battleship Island,The Battleship Islan,"Aug 4, 2017",CJ Entertainment,Drama
