link,Running Time,Franchise,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget
https://www.the-numbers.com/movie/Hot-Tub-Time-Machine-2#tab=summary,93 minutes,Hot Tub Time Machine,Comedy,Live Action,Science Fiction,United States,English,"February 20, 2015","Rfor crude sexual content and language throughout, graphic nudity, drug use and
some violence.(Rating bulletin 2302, 12/18/2013)","Metro-Goldwyn-Mayer Pictures,Paramount Pictures","$14,000,000"
https://www.the-numbers.com/movie/Fasandraeberne#tab=summary,119 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Denmark,Germany,Sweden","Danish,French","April 24, 2015",,,
https://www.the-numbers.com/movie/Kiseijuu-Kanketsuhen#tab=summary,117 minutes,Kiseijuu,Horror,Live Action,Science Fiction,Japan,Japanese,"April 24, 2015",,,
https://www.the-numbers.com/movie/Yi-Nian-Tian-Tang-(China)-(2015)#tab=summary,102 minutes,,Comedy,Live Action,Contemporary Fiction,China,Mandarin,"December 31, 2015",,,
https://www.the-numbers.com/movie/Ryuzo-to-7-nin-no-kobun-tachi-(Japan)-(2015)#tab=summary,125 minutes,,,Live Action,Contemporary Fiction,Japan,,"April 24, 2015",,,
https://www.the-numbers.com/movie/C-est-Si-Bon#tab=summary,118 minutes,,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"February 06, 2015",Not Rated,"CJ Entertainment,JFilm,Moov Pictures",
https://www.the-numbers.com/movie/Perdiendo-el-norte-(Spain)-(2015)#tab=summary,104 minutes,,Comedy,Live Action,Contemporary Fiction,Spain,,"March 06, 2015",,,
https://www.the-numbers.com/movie/Assassin-The-(2015-Taiwan)#tab=summary,104 minutes,,Drama,Live Action,Historical Fiction,"Taiwan, Province of China",Mandarin,"August 27, 2015",Not Rated,"SpotFilms,Central Motion Picture Co.,Sil-Metropole Organisation,Wild Bunch,China Dream Film Culture Industry,Media Asia Films,Zhejiang Huace Films & TV Co.","$15,000,000"
https://www.the-numbers.com/movie/Taxi-(2015)#tab=summary,82 minutes,,Documentary,Live Action,Factual,Islamic Republic of Iran,Farsi,"May 22, 2015",Not Rated,Jafar Panahi Film Productions,
https://www.the-numbers.com/movie/Daeho#tab=summary,139 minutes,,Action,Live Action,Historical Fiction,Republic of Korea,Korean,"December 16, 2015",,,
https://www.the-numbers.com/movie/Mia-madre#tab=summary,107 minutes,,Drama,Live Action,Contemporary Fiction,"Italy,France","Italian,English","April 17, 2015","Rfor language.(Rating bulletin 2409 (Cert #50245), 1/27/2016)","Sacher Film,RAI Cinema,Le Pacte,Arte France Cinema",
https://www.the-numbers.com/movie/Hei-Mao-Jing-Zhang-Zhi-Fei-Cui-Zhi-Xing-(China)-(2015)#tab=summary,,,Action,Digital Animation,Kids Fiction,China,,"August 01, 2015",,,
https://www.the-numbers.com/movie/Vai-que-Cola-O-Filme-(Brazil)(2015)#tab=summary,105 minutes,,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,"October 02, 2015",,,
https://www.the-numbers.com/movie/Xiao-shi-de-xiong-shou-(Hong-Kong)-(2015)#tab=summary,120 minutes,,Thriller/Suspense,,,Hong Kong,,"November 27, 2015",,,
https://www.the-numbers.com/movie/Samyy-luchshiy-den#tab=summary,112 minutes,,Comedy,Live Action,Contemporary Fiction,Russian Federation,Russian,"December 24, 2015",,,
https://www.the-numbers.com/movie/Luo-Ke-Wang-Guo-4-(China)(2015)#tab=summary,,Roco Kingdom,Thriller/Suspense,Digital Animation,Fantasy,China,Mandarin,"August 13, 2015",,,
https://www.the-numbers.com/movie/Shinjuku-suwan-(Japan)-(2015)#tab=summary,139 minutes,,Comedy,Live Action,Contemporary Fiction,,,"May 29, 2015",,,
https://www.the-numbers.com/movie/Di-san-zhong-ai-qing-(China)#tab=summary,113 minutes,,Drama,Live Action,Contemporary Fiction,China,Mandarin,"September 25, 2015",,,
https://www.the-numbers.com/movie/Cha-i-na-ta-un-(South-Korea)-(2015)#tab=summary,110 minutes,,Drama,Live Action,Contemporary Fiction,Republic of Korea,,"May 01, 2015",,,
https://www.the-numbers.com/movie/Deo-Pon-(South-Korea)-(2015)#tab=summary,115 minutes,,Action,,,Republic of Korea,,"October 16, 2015",,,
https://www.the-numbers.com/movie/Ate-que-a-Sorte-nos-Separe-3-A-Falencia-Final-(Brazil)(2015)#tab=summary,106 minutes,,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,"December 24, 2015",,,
https://www.the-numbers.com/movie/On-Drakon-(Russia)#tab=summary,,,Adventure,Live Action,Fantasy,Russian Federation,Russian,"December 04, 2015",,,
https://www.the-numbers.com/movie/Inishieshon-rabu-(Japan)-(2015)#tab=summary,110 minutes,,,Live Action,Contemporary Fiction,Japan,,"May 22, 2015",,,
https://www.the-numbers.com/movie/Galaxy-Kaido-(Japan)-(2015)#tab=summary,110 minutes,,Comedy,,Science Fiction,Japan,Japanese,"October 23, 2015",,,
https://www.the-numbers.com/movie/Bis-(France)-(2015)#tab=summary,98 minutes,,Comedy,,,France,,"February 20, 2015",,,
https://www.the-numbers.com/movie/Yokokuhan-(Japan)-(2015)#tab=summary,119 minutes,,,Live Action,Contemporary Fiction,Japan,,"June 05, 2015",,,
https://www.the-numbers.com/movie/Nian-Nian-You-Ai-(China)(2015)#tab=summary,120 minutes,,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"February 06, 2015",,,
https://www.the-numbers.com/movie/Meu-Passado-Me-Condena-2-(Brazil)(2015)#tab=summary,105 minutes,,Comedy,Live Action,Contemporary Fiction,Brazil,Portuguese,"July 03, 2015",,,
https://www.the-numbers.com/movie/Du-La-La-Sheng-Zhi-Ji-2-(China)-(2015)#tab=summary,101 minutes,,Romantic Comedy,,,China,,"December 04, 2015",,,
https://www.the-numbers.com/movie/We-Are-Your-Friends#tab=summary,96 minutes,,Drama,Live Action,Contemporary Fiction,United States,English,"August 26, 2015","Rfor language throughout, drug use, sexual content and some nudity.(Rating bulletin 2380, 7/1/2015)","Working Title Films,StudioCanal,Anton Capital Entertainment","$2,000,000"
https://www.the-numbers.com/movie/Little-Chaos-A#tab=summary,116 minutes,,Drama,Live Action,Historical Fiction,United Kingdom,English,"March 12, 2015","Rfor some sexuality and brief nudity.(Rating bulletin 2362, 2/25/2015)","Potboiler Productions,The Bureau,Kia Jam Productions",
https://www.the-numbers.com/movie/Nihon-no-ichiban-nagai-hi-ketteiban-(Japan)-(2015)#tab=summary,135 minutes,,Drama,,,Japan,,"August 07, 2015",,,
https://www.the-numbers.com/movie/Captain-America-Civil-War#tab=summary,146 minutes,Captain AmericaMarvel Cinematic Universe,Action,Live Action,Super Hero,United States,English,"April 22, 2016","PG-13for extended sequences of violence, action and mayhem.(Rating bulletin 2420 (Cert #50300), 4/13/2016)",Marvel Studios,"$250,000,000"
