link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,MPAA Rating,Production/Financing Companies,Production Budget,Franchise
https://www.the-numbers.com/movie/Thor-Love-and-Thunder-(2022)#tab=summary,119 minutes,Action,Animation/Live Action,Super Hero,United States,English,"July 01, 2022","PG-13for intense sequences of sci-fi violence and action, language, some suggestive material and partial nudity.(Rating bulletin 2736 (cert #53840), 6/15/2022)",Marvel Studios,"$250,000,000",Marvel Cinematic UniverseThor
https://www.the-numbers.com/movie/Battle-at-Lake-Changjin-II-The-(2022-China)#tab=summary,90 minutes,Action,Live Action,Dramatization,China,Mandarin,"February 01, 2022",,,,The Battle at Lake Changjin
https://www.the-numbers.com/movie/Puss-in-Boots-The-Last-Wish-(2022)#tab=summary,102 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"December 02, 2022","PGfor action/violence, rude humor/language, and some scary moments.(Rating bulletin 2740 (cert #53912), 7/13/2022)",DreamWorks Animation,"$110,000,000",ShrekPuss in Boots
https://www.the-numbers.com/movie/Moon-Man-(2022-China)#tab=summary,90 minutes,Comedy,Live Action,Science Fiction,China,Mandarin,"July 29, 2022",,"Beijing Mahua Funage Company,Alibaba Pictures",,
https://www.the-numbers.com/movie/Fantastic-Beasts-The-Secrets-of-Dumbledore-(2021)#tab=summary,,Adventure,Animation/Live Action,Fantasy,United States,English,"April 06, 2022","PG-13for some fantasy action/violence.(Rating bulletin 2720 (cert #53529), 2/23/2022)","Heyday Films,Warner Bros.","$200,000,000",Fantastic Beasts and Where to Find ThemHarry Potter
https://www.the-numbers.com/movie/Uncharted-(2022)#tab=summary,116 minutes,Adventure,Live Action,Contemporary Fiction,United States,English,"February 10, 2022","PG-13for violence/action and language.(Rating bulletin 2716 (cert #52632), 1/26/2022)","Arad Productions,Atlas Entertainment,Columbia Pictures","$120,000,000",
https://www.the-numbers.com/movie/Sonic-the-Hedgehog-2-(2022)#tab=summary,122 minutes,Adventure,Animation/Live Action,Kids Fiction,"United States,Japan",English,"March 30, 2022","PGfor action, some violence, rude humor, and mild language.(Rating bulletin 2723 (cert#53585), 3/16/2022)","Paramount Pictures,Marza Animation Planet,Sega Sammy Group,Original Film,Blur Studio","$90,000,000",Sonic The Hedgehog
https://www.the-numbers.com/movie/Black-Adam-(2022)#tab=summary,124 minutes,Action,Live Action,Super Hero,United States,English,"October 19, 2022","PG-13for sequences of strong violence, intense action and some language.(Rating bulletin 2749 (cert #53997), 9/14/2022)","New Line Cinema,Seven Bucks Productions,Flynn Picture Company,DC Films","$200,000,000",DC Extended Universe
https://www.the-numbers.com/movie/Ji-Su-Shi-Ke-(2022-China)#tab=summary,109 minutes,Action,Live Action,Contemporary Fiction,China,Mandarin,"February 04, 2022",,,,
https://www.the-numbers.com/movie/Suzume-(2022-Japan)#tab=summary,122 minutes,Adventure,Digital Animation,Contemporary Fiction,Japan,Japanese,"November 11, 2022","PGfor action/peril, language, thematic elements and smoking.(Rating bulletin 2777 (cert #54101) (Dubbed), 4/5/2023)PGfor action/peril, language, thematic elements and smoking.(Rating bulletin 2777 (cert #54246) (Subtitled), 4/5/2023)",,,
