link,MPAA Rating,Running Time,Franchise,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget
https://www.the-numbers.com/movie/Railway-Man-The#tab=summary,"Rfor disturbing prisoner of war violence.(Rating bulletin 2315, 3/26/2014)",116 minutes,,Drama,Live Action,Dramatization,"Screen Australia,Trinifold,Pictures in Paradise,Andy Paterson,Lionsgate UK,Screen NSW,Silver Reel Entertainment,Screen Queensland","Australia,United Kingdom",English,"April 11, 2014","$18,000,000"
https://www.the-numbers.com/movie/Left-Behind-(2014)#tab=summary,"PG-13for some thematic elements, violence/peril and brief drug content.(Rating bulletin 2341, 9/24/2014)",111 minutes,Left Behind,Thriller/Suspense,Live Action,Science Fiction,"Stoney Lake Entertainment,Entertainment One",United States,English,"October 03, 2014","$16,000,000"
https://www.the-numbers.com/movie/Tarzan-(2013)#tab=summary,"PGfor action violence, peril, frightening images, mild language and thematic elements.(Rating bulletin 2314, 3/19/2014)",,,Adventure,Digital Animation,Kids Fiction,,Germany,English,"January 09, 2014",
https://www.the-numbers.com/movie/Legends-of-Oz-Dorothys-Return#tab=summary,"PGfor some scary images and mild peril.(Rating bulletin 2289, 9/11/2013)",88 minutes,,Adventure,Digital Animation,Kids Fiction,Summertime Entertainment,United States,English,"May 09, 2014","$70,000,000"
https://www.the-numbers.com/movie/Quiet-Ones-The#tab=summary,"PG-13for intense sequences of violence and terror, sexual content, thematic material, language, and smoking throughout.(Rating bulletin 2268, 4/16/2013)",98 minutes,,Horror,Live Action,Fantasy,Hammer Films,United States,English,"April 11, 2014","$200,000"
https://www.the-numbers.com/movie/Sabotage#tab=summary,"Rfor strong bloody violence, pervasive language, some sexuality/nudity and drug use.(Rating bulletin 2307, 1/29/2014)",110 minutes,,Action,Live Action,Contemporary Fiction,"QED International,Crave Films",United States,English,"March 28, 2014","$35,000,000"
https://www.the-numbers.com/movie/Ki-sool-ja-deul-(South-Korea)-(2015)#tab=summary,,117 minutes,,,,,,Republic of Korea,,"December 26, 2014",
https://www.the-numbers.com/movie/And-So-It-Goes#tab=summary,"PG-13for some sexual references and drug elements.(Rating bulletin 2317, 4/9/2014)",93 minutes,,Comedy,Live Action,Contemporary Fiction,"Castle Rock Entertainment,Rob Reiner,Alan Greisman,Foresight Unlimited,Envision Entertainment",United States,English,"July 10, 2014","$18,000,000"
https://www.the-numbers.com/movie/Mommy#tab=summary,"Rfor language throughout, sexual references and some violence.(Rating bulletin 2350 (Cert #49499), 11/26/2014)",134 minutes,,Drama,Live Action,Contemporary Fiction,"Metafilms,Sons of Manuel",Canada,"French,English","November 13, 2014","$4,900,000"
https://www.the-numbers.com/movie/Tyler-Perrys-The-Single-Moms-Club#tab=summary,"PG-13for some sexual material and thematic elements.(Rating bulletin 2305, 1/15/2014)",111 minutes,,Comedy,Live Action,Contemporary Fiction,"Lionsgate,Tyler Perry Studios",United States,English,"March 14, 2014",
https://www.the-numbers.com/movie/vacances-du-petit-Nicolas-Les#tab=summary,Not Rated,97 minutes,,Comedy,Live Action,Contemporary Fiction,,France,French,"July 09, 2014",
https://www.the-numbers.com/movie/Ida#tab=summary,"PG-13for thematic elements, some sexuality and smoking.(Rating bulletin 2315, 3/26/2014)",80 minutes,,Drama,Live Action,Contemporary Fiction,"Opus Film,Phoenix Pictures,Portobello Pictures","Poland,Denmark",Polish,"March 28, 2014","$2,600,000"
https://www.the-numbers.com/movie/My-Old-Lady#tab=summary,"PG-13PG-13 for thematic material and some sexual references.(Rating bulletin 2308, 2/5/2014)",107 minutes,,Comedy,Live Action,Contemporary Fiction,"Cohen Media Group,Deux Chevaux,Katsize Films","United States,France",English,"September 10, 2014","$5,000,000"
https://www.the-numbers.com/movie/Shingeki-no-kyojin-endo-obu-za-warudo#tab=summary,Not Rated,87 minutes,Attack on Titan,Action,Live Action,Science Fiction,,Japan,Japanese,"September 18, 2015",
https://www.the-numbers.com/movie/Pyramid-The#tab=summary,"Rfor some horror violence and bloody images.(Rating bulletin 2325, 6/4/2014)",89 minutes,,Horror,Live Action,Fantasy,"Fox International Productions,Silvatar Media",United States,English,"December 05, 2014",
https://www.the-numbers.com/movie/Snezhnaya-koroleva-2#tab=summary,,78 minutes,Snow Queen,Adventure,Digital Animation,Kids Fiction,,Russian Federation,"English,Russian","December 26, 2014",
https://www.the-numbers.com/movie/Inherent-Vice#tab=summary,"Rfor drug use throughout, sexual content, graphic nudity, language and some violence.(Rating bulletin 2338, 9/3/2014)",148 minutes,,Comedy,Live Action,Historical Fiction,"Joanne Sellar,Ghoulardi Film Company",United States,English,"December 12, 2014","$20,000,000"
https://www.the-numbers.com/movie/Salt-of-the-Earth-The#tab=summary,"PG-13for thematic material involving disturbing images of violence and human suffering, and for nudity.(Rating bulletin 2340, 9/17/2014)",109 minutes,,Documentary,Live Action,Factual,"Amazonas Images,Solares delle arti,La Region-Ile-de-France,Les Amis de la Maison Europeenne de la Photographie","France,Brazil,Italy","French,Portuguese,English","October 23, 2014",
https://www.the-numbers.com/movie/America-Imagine-a-World-Without-Her#tab=summary,"PG-13for some violent images.(Rating bulletin 2326, 6/10/2014)",103 minutes,,Documentary,Live Action,Factual,"AmericaFilm, LLC",United States,English,"June 27, 2014",
https://www.the-numbers.com/movie/Labor-Day#tab=summary,"PG-13for thematic material, brief violence and sexuality.(Rating bulletin 2284, 8/7/2013)",111 minutes,,Drama,Live Action,Contemporary Fiction,"Right of Way Films,Mr. Mudd",United States,English,"January 31, 2014","$18,000,000"
https://www.the-numbers.com/movie/Torrente-5-Operacion-Eurovegas#tab=summary,,,Torrente,Comedy,Live Action,Science Fiction,,Spain,Spanish,"October 03, 2014",
https://www.the-numbers.com/movie/Sous-les-jupes-des-filles#tab=summary,,,,Comedy,Live Action,Contemporary Fiction,,France,"French,English","June 04, 2014",
https://www.the-numbers.com/movie/French-La#tab=summary,"Rfor strong violence, drug content and language.(Rating bulletin 2350, 11/26/2014)",136 minutes,,Thriller/Suspense,Live Action,Historical Fiction,"Legende Films,Gaumont,France 2 Cinema,Scope Pictures,RTBF,Canal Plus",France,French,"December 05, 2014",
https://www.the-numbers.com/movie/Bogowie-(Poland)#tab=summary,,120 minutes,,Drama,Live Action,Dramatization,,Poland,Polish,"October 10, 2014",
https://www.the-numbers.com/movie/Loft-The#tab=summary,"Rfor sexual content, nudity, bloody violence, language and some drug use.(Rating bulletin 2255, 1/16/2013)",108 minutes,,Thriller/Suspense,Live Action,Contemporary Fiction,"Anonymous Content,Woestijnvis",United States,English,"December 12, 2014",
https://www.the-numbers.com/movie/Samba-(France)#tab=summary,"Rfor language.(Rating bulletin 2371, 4/26/2015)",119 minutes,,Comedy,Live Action,Contemporary Fiction,"Quad Films,Ten Films,Gaumont,TF1 Film Productions,Chaocorp",France,French,"April 02, 2014",
https://www.the-numbers.com/movie/Maya-the-Bee#tab=summary,"G(Rating bulletin 2354, 12/24/2014)",87 minutes,,Adventure,Digital Animation,Kids Fiction,"Buzz Studios,Studio 100 Media,Screen NSW,Flying Bark Productions,ZDF","Australia,Germany",English,"September 26, 2014",
https://www.the-numbers.com/movie/Yolki-1914-(Russia)-(2014)#tab=summary,,106 minutes,,Comedy,Live Action,Historical Fiction,,Russian Federation,,"December 26, 2014",
https://www.the-numbers.com/movie/Pek-Yakinda-(Turkey)-(2014)#tab=summary,,134 minutes,,Comedy,Live Action,Contemporary Fiction,,Turkey,,"October 03, 2014",
https://www.the-numbers.com/movie/Star-Wars-Ep-VII-The-Force-Awakens#tab=summary,"PG-13for sci-fi action violence.(Rating bulletin 2401 (Cert #50155), 11/25/2015)",136 minutes,Star Wars,Adventure,Animation/Live Action,Science Fiction,"Lucasfilm,Bad Robot",United States,English,"December 16, 2015","$533,200,000"
https://www.the-numbers.com/movie/Avengers-Age-of-Ultron#tab=summary,"PG-13for intense sequences of sci-fi action, violence and destruction, and for some suggestive comments.(Rating bulletin 2268, 4/8/2015)",141 minutes,Marvel Cinematic UniverseAvengers,Action,Animation/Live Action,Super Hero,Marvel Studios,United States,English,"April 22, 2015","$365,000,000"
https://www.the-numbers.com/movie/Minions#tab=summary,"PGfor action and rude humor.(Rating bulletin 2367, 4/1/2015)",91 minutes,Despicable MeMinions,Adventure,Digital Animation,Kids Fiction,"Universal Pictures,Illumination Entertainment",United States,English,"June 17, 2015","$74,000,000"
https://www.the-numbers.com/movie/Inside-Out-(2015)#tab=summary,"PGfor mild thematic elements and some action.(Rating bulletin 2366, 3/25/2015)",95 minutes,Inside Out,Adventure,Digital Animation,Kids Fiction,Disney-Pixar,United States,English,"June 12, 2015","$175,000,000"
https://www.the-numbers.com/movie/Fifty-Shades-of-Grey#tab=summary,"Rfor strong sexual content including dialogue, some unusual behavior and graphic nudity, and for language.(Rating bulletin 2355, 1/7/2015)",125 minutes,Fifty Shades of Grey,Drama,Live Action,Contemporary Fiction,"Focus Features,Michael De Luca Productions,Trigger Street Productions",United States,English,"February 11, 2015","$40,000,000"
