link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date,Production Budget,Franchise
https://www.the-numbers.com/movie/Hamilton-(2020)#tab=summary,"PG-13for language and some suggestive material.(Rating bulletin 2629 (Cert #52711), 5/13/2020)",162 minutes,Musical,Live Action,Historical Fiction,"Walt Disney Pictures,5000 Broadway Productions,Old 320 Sycamore,RadicalMedia,Nevis Productions",United States,English,"October 15, 2021",,
https://www.the-numbers.com/movie/Photograph-The-(2020)#tab=summary,"PG-13for sexuality and brief strong language.(Rating bulletin 2601 (Cert #52446), 10/23/2019)",106 minutes,Drama,Live Action,Contemporary Fiction,"Will Packer Productions,Universal Pictures,Perfect World Pictures",United States,English,"February 14, 2020","$15,000,000",
https://www.the-numbers.com/movie/Eiga-Entotsu-Machi-no-Poupelle-(2021-Japan)#tab=summary,"PGfor violence, some action and thematic elements.(Rating bulletin 2707 (cert #53502), 11/17/2021)",100 minutes,Adventure,Digital Animation,Fantasy,,Japan,Japanese,"December 25, 2020",,
https://www.the-numbers.com/movie/Yarn-(2020-Japan)#tab=summary,,130 minutes,Drama,Live Action,Contemporary Fiction,,Japan,Japanese,"April 24, 2020",,
https://www.the-numbers.com/movie/Yi-miao-zhong-(2020-China)#tab=summary,,104 minutes,Drama,Live Action,Historical Fiction,,China,Mandarin,"November 26, 2020",,
https://www.the-numbers.com/movie/Gekijouban-Violet-Evergarden-(Japan)#tab=summary,,,Drama,Digital Animation,Fantasy,,Japan,Japanese,"September 18, 2020",,
https://www.the-numbers.com/movie/Brahms-The-Boy-II-(2020)#tab=summary,"PG-13for terror, violence, disturbing images and thematic elements.
NOTE: EDITED FOR RE-RATE. CONTENT IS DIFFERENT FROM PG-13 RATED VERSION, BULLETIN NO. 2594 (9/4/19). ONLY THIS EDITED VERSION IS RATED. CHANGE IN RATING DESCRIPTOR ONLY.(Rating bulletin 2613 (Cert #52367), 1/22/2020)",86 minutes,Horror,Live Action,Contemporary Fiction,"Lakeshore Entertainment,STX Films",United States,English,"February 20, 2020","$10,000,000",The Boy
https://www.the-numbers.com/movie/Promising-Young-Woman#tab=summary,"Rfor strong violence including sexual assault, language throughout, some sexual material and drug use.(Rating bulletin 2621 (Cert #52187), 3/18/2020)",113 minutes,Black Comedy,Live Action,Contemporary Fiction,"FilmNation Entertainment,LuckyChap Entertainment,Focus Features","United States,United Kingdom",English,"December 25, 2020",,
https://www.the-numbers.com/movie/Gekijouban-Fate-Stay-Night-Heavens-Feel-III-Spring-Song-(2020-Japan)#tab=summary,,,Adventure,Digital Animation,Fantasy,,Japan,,"August 15, 2020",,Fate/stay Night
https://www.the-numbers.com/movie/Turning-The-(2020)#tab=summary,"PG-13for terror, violence, disturbing images, brief strong language and some suggestive content.(Rating bulletin 2585 (Cert #52284), 7/3/2019)",94 minutes,Horror,Live Action,Contemporary Fiction,"DreamWorks Pictures,Vertigo Entertainment,Reliance Entertainment,Chislehurst Entertainment",United States,English,"January 23, 2020","$12,000,000",
https://www.the-numbers.com/movie/Freaky-(2020)#tab=summary,"Rfor strong bloody horror violence, sexual content, and language throughout.(Rating bulletin 2647 (#52895), 9/16/2020)",101 minutes,Horror,Live Action,Contemporary Fiction,"Universal Pictures,Blumhouse,Divide/Conquer",United States,English,"November 12, 2020","$6,000,000",
https://www.the-numbers.com/movie/Ensemble-c-est-tout#tab=summary,,97 minutes,Drama,Live Action,Contemporary Fiction,,France,French,"December 24, 2020",,
https://www.the-numbers.com/movie/Kaiji-Fainaru-gemu-(Japan)#tab=summary,,128 minutes,Adventure,Live Action,Contemporary Fiction,,Japan,Japanese,"January 10, 2020",,
