link,Production Budget,Running Time,Genre,Production Method,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Shes-the-Man-(2006)#tab=summary,"$25,000,000",105 minutes,Romantic Comedy,Live Action,Donners’ Company,United States,English,"March 17, 2006"
https://www.the-numbers.com/movie/Stranger-Than-Fiction#tab=summary,"$30,000,000",105 minutes,Comedy,Live Action,"Columbia Pictures,Mandate Pictures",United States,English,"November 10, 2006"
https://www.the-numbers.com/movie/Inconvenient-Truth-An#tab=summary,"$1,000,000",97 minutes,Documentary,Live Action,Participant Media,United States,English,"May 24, 2006"
https://www.the-numbers.com/movie/Sinking-of-Japan-The-(2006-Japan)#tab=summary,,135 minutes,Adventure,Live Action,,Japan,,
https://www.the-numbers.com/movie/Notes-on-a-Scandal#tab=summary,"$27,500,000",92 minutes,Drama,Live Action,"Fox Searchlight Pictures,DNA Films,UK Film Council,BBC Films,Scott Rudin Productions,Robert Fox",United Kingdom,English,"December 25, 2006"
https://www.the-numbers.com/movie/Texas-Chainsaw-Massacre-The-Beginning-The-(2006)#tab=summary,"$16,000,000",84 minutes,Horror,Live Action,"New Line Cinema,Michael Bay,Platinum Dunes,Vortex,Henkel,Hooper",United States,English,"October 06, 2006"
https://www.the-numbers.com/movie/Ant-Bully-The#tab=summary,"$45,000,000",89 minutes,Adventure,Digital Animation,Legendary Pictures,United States,English,"July 28, 2006"
https://www.the-numbers.com/movie/Black-Dahlia-The#tab=summary,"$60,000,000",121 minutes,Thriller/Suspense,Live Action,"Millennium Films,Signature Pictures,Equity Pictures Medienfonds GmbH & Co. KG III,Nu Image",United States,English,"September 15, 2006"
https://www.the-numbers.com/movie/Last-King-of-Scotland-The-(2006)#tab=summary,"$6,000,000",121 minutes,Drama,Live Action,"Fox Searchlight Pictures,DNA Films,FilmFour,UK Film Council,Scottish Screen,Cowboy Films,Slate Films","United Kingdom,Germany",English,"September 27, 2006"
https://www.the-numbers.com/movie/Deck-the-Halls#tab=summary,"$51,000,000",93 minutes,Comedy,Live Action,"Regency Enterprises,New Regency,Corduroy Films",United States,English,"November 22, 2006"
https://www.the-numbers.com/movie/Nativity-Story-The#tab=summary,"$35,000,000",,Drama,Live Action,,United States,English,"December 01, 2006"
https://www.the-numbers.com/movie/Crank#tab=summary,"$12,000,000",88 minutes,Action,Live Action,Lakeshore Entertainment,United States,English,"September 01, 2006"
https://www.the-numbers.com/movie/We-Are-Marshall#tab=summary,"$65,000,000",,Drama,Live Action,,United States,English,"December 22, 2006"
https://www.the-numbers.com/movie/Last-Holiday#tab=summary,"$45,000,000",112 minutes,Comedy,Live Action,"Paramount Pictures,ImageMovers,Laurence Mark",United States,English,"January 13, 2006"
https://www.the-numbers.com/movie/Tom-yum-goong#tab=summary,"$5,700,000",81 minutes,Action,Live Action,,Thailand,Thai,"September 08, 2006"
https://www.the-numbers.com/movie/Glory-Road#tab=summary,"$30,000,000",117 minutes,Drama,Live Action,"Walt Disney Pictures,Jerry Bruckheimer Films",United States,English,"January 13, 2006"
https://www.the-numbers.com/movie/Good-Year-A#tab=summary,"$35,000,000",118 minutes,Drama,Live Action,Fox 2000 Pictures,"United Kingdom,France",English,"November 10, 2006"
https://www.the-numbers.com/movie/Gridiron-Gang#tab=summary,"$30,000,000",126 minutes,Drama,Live Action,,United States,English,"September 15, 2006"
https://www.the-numbers.com/movie/Man-of-the-Year#tab=summary,"$20,000,000",115 minutes,Comedy,Live Action,"Morgan Creek Productions,Universal Pictures",United States,English,"October 13, 2006"
