link,Production Budget,Running Time,Genre,Production Method,Production Countries,Languages,Release Date,Production/Financing Companies
https://www.the-numbers.com/movie/I-am-a-Hero-(Japan)#tab=summary,,126 minutes,Action,Live Action,Japan,Japanese,"April 22, 2016",
https://www.the-numbers.com/movie/Yolki-5-(Russia)-(2016)#tab=summary,,88 minutes,Comedy,Live Action,Russian Federation,Russian,"December 23, 2016",
https://www.the-numbers.com/movie/Too-Young-to-Die-(Japan)-(2016)#tab=summary,,125 minutes,,,Japan,,"June 24, 2016",
https://www.the-numbers.com/movie/Ikari-(Japan)#tab=summary,,,Thriller/Suspense,Live Action,Japan,Japanese,"September 16, 2016",
https://www.the-numbers.com/movie/Phantom-of-the-Theater-(China)#tab=summary,,103 minutes,Thriller/Suspense,Live Action,"China,Hong Kong",Mandarin,"April 29, 2016",Bona Entertainment Company
https://www.the-numbers.com/movie/Bai-niao-chao-feng-(China)#tab=summary,,110 minutes,Drama,Live Action,China,,"May 06, 2016",
https://www.the-numbers.com/movie/Saraba-Abunai-Deka-Long-Goodbye-(Japan)-(2016)#tab=summary,,,Action,,Japan,Japanese,"January 29, 2016",
https://www.the-numbers.com/movie/Sing-Street#tab=summary,"$4,000,000",100 minutes,Drama,Live Action,Ireland,English,"March 18, 2016","Weinstein Company,Merced Media Partners,PalmStar Media Capital,Bord Scannan na hEireann,Irish Film Board,A Likely Story,Filmwave,Distressed Films,Cosmo Films"
https://www.the-numbers.com/movie/New-Happy-Dad-Son-2-The-Instant-Genius-(2016-China)#tab=summary,,85 minutes,Adventure,Digital Animation,China,Mandarin,"August 19, 2016",
https://www.the-numbers.com/movie/MBA-Partners-(China)#tab=summary,,101 minutes,Drama,Live Action,China,,"April 29, 2016",
https://www.the-numbers.com/movie/Man-Who-Knew-Infinity-The#tab=summary,"$10,000,000",108 minutes,Drama,Live Action,"India,United Kingdom",English,"March 11, 2016","Edward R. Pressman,Animus Films,Cayenne Pepper Productions,Xeitgeist Entertainment Group,Marcys Holdings"
https://www.the-numbers.com/movie/No-Ones-Life-Is-Easy-So-I-Married-an-Anti-Fan-(China)#tab=summary,,90 minutes,Romantic Comedy,Live Action,"China,Republic of Korea",Mandarin,"June 28, 2016",
https://www.the-numbers.com/movie/Chihayafuru-Kaminoku-(Japan)-(2016)#tab=summary,,111 minutes,,,Japan,Japanese,"March 18, 2016",
https://www.the-numbers.com/movie/Carrossel-2-O-Sumico-de-Maria-Joaquina-(Brazil)(2016)#tab=summary,,,Comedy,Live Action,Brazil,Portuguese,"July 15, 2016",
https://www.the-numbers.com/movie/Xiao-men-shen-(China)-(2016)#tab=summary,,103 minutes,Comedy,Digital Animation,China,Mandarin,"January 01, 2016",
https://www.the-numbers.com/movie/Myujiamu-(Japan)-(2016)#tab=summary,,132 minutes,Horror,,Japan,Japanese,"November 11, 2016",
https://www.the-numbers.com/movie/Tik-Tok-(China)#tab=summary,,,Thriller/Suspense,Live Action,"China,Republic of Korea","Mandarin,Korean","July 15, 2016",
https://www.the-numbers.com/movie/Bokudake-ga-inai-machi-(Japan)-(2016)#tab=summary,,120 minutes,Drama,Live Action,Japan,,"March 18, 2016",
https://www.the-numbers.com/movie/Zhi-Wo-Men-Zhong-Jiang-Dao-Lai-De-Ai-Qing-(China)-(2016)#tab=summary,,94 minutes,Romantic Comedy,,China,Mandarin,"January 29, 2016",
https://www.the-numbers.com/movie/Shigatsu-wa-kimi-no-uso-(Japan)-(2016)#tab=summary,,122 minutes,Musical,Live Action,Japan,Japanese,"September 09, 2016",
https://www.the-numbers.com/movie/Dag-2-(Turkey)#tab=summary,,135 minutes,Drama,Live Action,Turkey,Turkish,"November 04, 2016",
https://www.the-numbers.com/movie/Toni-Erdmann#tab=summary,,162 minutes,Comedy,Live Action,Germany,German,"July 15, 2016","Komplizen,Coop99,KNM,Missing Link Films,SWR,WDR,Arte"
