link,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Running Time,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Die-Drei-Erbe-des-Drachen-(2023-Germany)#tab=summary,,Live Action,Contemporary Fiction,Germany,German,"January 26, 2023",,,,,
https://www.the-numbers.com/movie/Manifesto-(2023-China)#tab=summary,Drama,Live Action,,China,Mandarin,"March 24, 2023",,,,,
https://www.the-numbers.com/movie/Just-for-Meeting-You-(2023-China)#tab=summary,Romantic Comedy,Live Action,Contemporary Fiction,China,Mandarin,"August 22, 2023",108 minutes,,,,
https://www.the-numbers.com/movie/Beau-is-Afraid-(2023)#tab=summary,Horror,Live Action,Contemporary Fiction,"Canada,United States",English,"April 14, 2023",179 minutes,"$35,000,000","Rfor strong violent content, sexual content, graphic nudity, drug use and language.(Rating bulletin 2765 (cert #54220), 1/11/2023)","Square Peg,A24,Access Entertainment,IPR.VC",
https://www.the-numbers.com/movie/Super-Wings-Maximum-Speed-(2023-China)#tab=summary,Comedy,Digital Animation,Kids Fiction,China,Chinese,"July 08, 2023",89 minutes,,,,
https://www.the-numbers.com/movie/Sisu-(2023-Finland)#tab=summary,Action,Live Action,Historical Fiction,Finland,"Finnish,English","January 27, 2023",91 minutes,,"Rfor strong bloody violence, gore and language.(Rating bulletin 2778 (cert #54366), 4/12/2023)","Lionsgate,Stage 6 Films,Subzero Film Entertainment,Good Chaos",Sisu
https://www.the-numbers.com/movie/Salaar-Cease-Fire-Part-1-(2023-India)#tab=summary,Action,Live Action,Contemporary Fiction,India,"Hindi,Malayalam,English,Tamil,Kannada,Telugu","December 22, 2023",172 minutes,,,,
https://www.the-numbers.com/movie/An-Sha-Feng-Bao-(2023-China)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,China,Mandarin,"August 18, 2023",,,,,
https://www.the-numbers.com/movie/Love-Again-(2023)#tab=summary,Romantic Comedy,Live Action,Contemporary Fiction,United States,English,"May 05, 2023",104 minutes,,"PG-13for some sexual material and some strong language.(Rating bulletin 2778 (cert #53042), 4/12/2023)","Thunder Road Film,Screen Gems,2.0 Entertainment",
https://www.the-numbers.com/movie/Machine-The-(2023)#tab=summary,Action,Live Action,Contemporary Fiction,United States,English,"May 25, 2023",112 minutes,"$20,000,000","Rfor strong violence, pervasive language, drug use and some sexual references.(Rating bulletin 2718 (cert #53618), 2/9/2022)",Legendary Pictures,
https://www.the-numbers.com/movie/Great-Escaper-The-(2023-United-Kingdom)#tab=summary,Drama,Live Action,Historical Fiction,United Kingdom,English,"October 06, 2023",,,,,
https://www.the-numbers.com/movie/Sleep-(2023-South-Korea)#tab=summary,Thriller/Suspense,Live Action,Contemporary Fiction,Republic of Korea,Korean,"September 06, 2023",94 minutes,,Not Rated,,
https://www.the-numbers.com/movie/Inside-Out-2-(2024)#tab=summary,Adventure,Digital Animation,Kids Fiction,United States,English,"June 12, 2024",100 minutes,"$200,000,000","PGfor some thematic elements.(Rating bulletin 2834 (cert #54895), 5/15/2024)","Walt Disney Pictures,Disney-Pixar",Inside Out
https://www.the-numbers.com/movie/Deadpool-and-Wolverine-(2024)#tab=summary,Action,Animation/Live Action,Super Hero,United States,English,"July 24, 2024",127 minutes,"$200,000,000","Rfor strong bloody violence and language throughout, gore and sexual references.(Rating bulletin 2837 (cert #55028), 6/5/2024)",Marvel Studios,DeadpoolX-MenMarvel Cinematic UniverseWolverine
