link,MPAA Rating,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Farewell-The-(2019)#tab=summary,"PGfor thematic material, brief language and some smoking.(Rating bulletin 2575 (Cert #52174), 4/24/2019)",98 minutes,Drama,Live Action,Dramatization,United Kingdom,"English,Mandarin,Japanese,Italian","July 12, 2019","$3,000,000",,
https://www.the-numbers.com/movie/Missing-Link-(2019)#tab=summary,"PGfor action/peril and some mild rude humor.(Rating bulletin 2552 (Cert #51886), 11/7/2018)",94 minutes,Adventure,Stop-Motion Animation,Kids Fiction,Canada,English,"April 04, 2019",,"Laika,Annapurna Pictures",
https://www.the-numbers.com/movie/Chen-Mo-Zheng-Ren-(China)-(2019)#tab=summary,,100 minutes,Thriller/Suspense,Live Action,Contemporary Fiction,"China,Hong Kong","Mandarin,Cantonese","August 16, 2019",,,
https://www.the-numbers.com/movie/Booksmart-(2019)#tab=summary,"Rfor strong sexual content and language throughout, drug use and drinking - all involving teens.(Rating bulletin 2574 (Cert #51993), 4/17/2019)",102 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"May 24, 2019","$6,000,000","Gloria Sanchez,Annapurna Pictures",
https://www.the-numbers.com/movie/Don-(S-Korea)(2019)#tab=summary,Not Rated,115 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"March 20, 2019",,,
https://www.the-numbers.com/movie/Skyfire-(2019-China)#tab=summary,,90 minutes,Action,Live Action,Contemporary Fiction,China,"Mandarin,English","December 12, 2019",,"Meridian Entertainment,Screen Media Films",
https://www.the-numbers.com/movie/Nous-finirons-ensemble-(France)(2019)#tab=summary,,135 minutes,Romantic Comedy,Live Action,Contemporary Fiction,"France,Belgium",French,"May 03, 2019",,,
https://www.the-numbers.com/movie/Zhi-You-Yun-Zhi-Dao-(China)#tab=summary,Not Rated,90 minutes,Drama,Live Action,Contemporary Fiction,China,Mandarin,"December 18, 2019",,,
https://www.the-numbers.com/movie/Peanut-Butter-Falcon-The#tab=summary,"PG-13for thematic content, language throughout, some violence and smoking.(Rating bulletin 2579 (Cert #52082), 5/22/2019)",93 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"August 09, 2019","$6,200,000","Armory Films,Bona Fide,Roadside Attractions,Endeavor Content",
https://www.the-numbers.com/movie/Dark-Waters#tab=summary,"PG-13for thematic content, some disturbing images and strong language.(Rating bulletin 2599 (Cert #52368), 10/9/2019)",126 minutes,Drama,Live Action,Dramatization,United States,English,"November 22, 2019",,"Participant Media,Killer Films",
https://www.the-numbers.com/movie/Gekijoban-Ossan-zu-Rabu-Love-or-Dead-(Japan)#tab=summary,,,,Live Action,,Japan,Japanese,"August 23, 2019",,,
https://www.the-numbers.com/movie/Start-Up-(2019-South-Korea)#tab=summary,,102 minutes,Drama,Live Action,Contemporary Fiction,Republic of Korea,Korean,"December 18, 2019",,,
https://www.the-numbers.com/movie/Shentan-pusong-ling-(China)(2019)#tab=summary,Not Rated,108 minutes,Action,Multiple Production Methods,Fantasy,China,Mandarin,"February 05, 2019",,,
https://www.the-numbers.com/movie/Black-and-Blue-(2019)#tab=summary,"Rfor violence and language.(Rating bulletin 2600 (Cert #52040), 10/16/2019)",108 minutes,Action,Live Action,Contemporary Fiction,United States,English,"October 23, 2019","$12,000,000","Royal Viking Entertainment,Hidden Empire Film Group,Screen Gems",
