link,Running Time,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Release Date
https://www.the-numbers.com/movie/Jue-ji-(2016-China)#tab=summary,117 minutes,"Sword & Sorcerer,Orphan,3-D,Prologue,Voiceover/Narration,Novel or Other Work Adapted by Author,Young Adult Book Adaptation,Motion Capture Performance,Action Adventure",Based on Fiction Book/Short Story,Adventure,Digital Animation,Fantasy,,China,Mandarin,"September 29, 2016"
https://www.the-numbers.com/movie/Florence-Foster-Jenkins#tab=summary,110 minutes,"Opera,Singers,Biography,Set in New York City,Celebrity Worship,Biographical Drama,1940s,Relationships Gone Wrong,Infidelity",Based on Real Life Events,Drama,Live Action,Dramatization,"Pathe,Paramount Pictures,BBC Films,Canal Plus,Cine Plus,Qwerty Films",United States,English,"April 29, 2016"
https://www.the-numbers.com/movie/Barbershop-The-Next-Cut#tab=summary,112 minutes,"African Americans,Fashion,Legacy Sequel,Gangs,Hood Film,Comedy Drama",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"New Line Cinema,Metro-Goldwyn-Mayer Pictures,State Street Pictures,Cube Vision",United States,English,"April 15, 2016"
https://www.the-numbers.com/movie/Zoolander-2-(2016)#tab=summary,102 minutes,"Directing Yourself,Screenplay Written By the Star,Fashion,Models,Legacy Sequel,Gratuitous Cameos,Prologue,Intertitle,Interpol,Assassination,Pop Music,Non-Chronological,2000s,Death of a Spouse or Fiancée / Fiancé,Young Child Dealing with the Death of a Parent,Orphanage,Archival Footage of Previous Installment,Retirement,Out of Retirement,Comeback,Friendly Ghost,False Identity,Surprise Twist,Romance,Farcical / Slapstick Comedy",Original Screenplay,Comedy,Live Action,Contemporary Fiction,"Paramount Pictures,Red Hour Productions,Scott Rudin Productions",United States,English,"February 05, 2016"
https://www.the-numbers.com/movie/Age-of-Shadows-The-(2016-South-Korea)#tab=summary,140 minutes,"Set in Japan,Resistance Fighter,Undercover,1920s,Set in Korea,Action Thriller,Occupying Army",Original Screenplay,Action,Live Action,Historical Fiction,"Warner Bros.,Grimm Pictures,Warner Brothers Korea,Harbin Films",Republic of Korea,Korean,"August 25, 2016"
https://www.the-numbers.com/movie/Visiteurs-La-Revolution-Les-(2016-France)#tab=summary,110 minutes,"Farcical / Slapstick Comedy,Time Travel,Legacy Sequel,1700s,Revolution",Original Screenplay,Comedy,Live Action,Historical Fiction,,France,French,"April 08, 2016"
https://www.the-numbers.com/movie/Chinese-Odyssey-A-Part-Three-(2016-China)#tab=summary,93 minutes,"Action Comedy,Reincarnation,Chinese Mythology",Original Screenplay,Comedy,Live Action,Fantasy,,"China,Hong Kong",Mandarin,"September 14, 2016"
https://www.the-numbers.com/movie/Patriots-Day#tab=summary,130 minutes,"Set in Boston,Terrorism,2010s,Track and Field,Marathon Running,First Responders,Action Thriller,Ensemble",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"CBS Films,Lionsgate,Closest to the Hole,Leverage,Bluegrass Films,Hutch Parker",United States,English,"December 21, 2016"
https://www.the-numbers.com/movie/Luck-Key-(2016-South-Korea)#tab=summary,112 minutes,"Faulty Memory,Assassination,Hitmen,Film Actor,Action Comedy,TV Industry,Remake,Foreign-Language Remake",Original Screenplay,Comedy,Live Action,Contemporary Fiction,,Republic of Korea,Korean,"September 30, 2016"
https://www.the-numbers.com/movie/Mothers-Day-(2016)#tab=summary,118 minutes,"Ensemble,Segments,Romantic Comedy,Divorcée Romance,Relationships Gone Wrong,Adopted Family Seeking Reunion,Interracial Romance,LGBTQ+,Bigotry,Dysfunctional Family",Original Screenplay,Romantic Comedy,Live Action,Contemporary Fiction,"Open Road Films,Wayne Rice,Gulfstream Pictures,Aperture Media Partners,Mayday Movie Productions,Beatnik Films",United States,English,"April 22, 2016"
https://www.the-numbers.com/movie/Wo-de-te-gong-ye-ye-(2016-China)#tab=summary,99 minutes,"Action Thriller,Crime,Organized Crime,Bodyguard,Retirement,Out of Retirement,Faulty Memory",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,,China,Cantonese,"April 01, 2016"
https://www.the-numbers.com/movie/Ekipazh-(2016-Russia)#tab=summary,138 minutes,"Survival Adventure,In a Plane,Remake,Ensemble",Original Screenplay,Adventure,Live Action,Contemporary Fiction,,Russian Federation,Russian,"April 21, 2016"
https://www.the-numbers.com/movie/Goksung-(2016-South-Korea)#tab=summary,156 minutes,"Sick Child,Supernatural,Life in a Small Town,Medical and Hospitals,Dream Sequence,Nightmare,Non-Chronological,Psychological Thriller",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"20th Century Fox Intl,Side Mirror,Ivanhoe Pictures",Republic of Korea,"Korean,Japanese","May 12, 2016"
https://www.the-numbers.com/movie/Eiga-Doraemon-Shin-Nobita-no-Nippon-tanjou-(2016-Japan)#tab=summary,104 minutes,"Family Adventure,Time Travel,Set in Japan",Based on Comic/Graphic Novel,Adventure,Digital Animation,Kids Fiction,,Japan,Japanese,"March 04, 2016"
https://www.the-numbers.com/movie/Master-(South-Korea)#tab=summary,143 minutes,"Crime Thriller,Police Procedural,White Collar Crime,Corporate Malfeasance,Set in South Korea",Original Screenplay,Action,Live Action,Contemporary Fiction,Zip Cinema,Republic of Korea,Korean,"December 15, 2016"
https://www.the-numbers.com/movie/Finest-Hours-The#tab=summary,116 minutes,"Extreme Weather,On a Boat,Disaster,Rescue,Ensemble,1950s,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Thriller",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Walt Disney Pictures,Whitaker Entertainment,Red Hawk Films",United States,English,"January 27, 2016"
https://www.the-numbers.com/movie/Operation-Chromite-(2016-South-Korea)#tab=summary,115 minutes,"Korean War,Undercover,Assassination,Navy,Action Thriller,1950s,Set in South Korea,War",Original Screenplay,Action,Live Action,Historical Fiction,Taewon Entertainment,Republic of Korea,"Korean,English","July 20, 2016"
https://www.the-numbers.com/movie/So-Young-2-Never-Gone-(2016-China)#tab=summary,98 minutes,"Romance,Death of Other Extended Family,Exes in Love,Set in China,Romantic Drama,Relationships Gone Wrong",Based on Fiction Book/Short Story,Drama,Live Action,Contemporary Fiction,Beijing Ruyi Xinxin Film Investment,China,Mandarin,"July 08, 2016"
https://www.the-numbers.com/movie/Monster-Calls-A#tab=summary,108 minutes,"Cancer,Terminal Illness,Bullies,Dysfunctional Family,Novel or Other Work Adapted by Author,Motion Capture Performance,Family Drama,Medical and Hospitals,Young Child Dealing with the Death of a Parent,Monster",Based on Fiction Book/Short Story,Drama,Animation/Live Action,Contemporary Fiction,"Focus Features,Participant Media,River Road Entertainment,Apaches Entertainment,Telecinco Cinema,A Monster Calls AIE,La Trini","United States,Spain",English,"October 07, 2016"
https://www.the-numbers.com/movie/Risen#tab=summary,107 minutes,"Religious,Ancient Rome,Faith-Based Film,Faith-Based Drama,Bible Epic",Based on Religious Text,Drama,Live Action,Historical Fiction,"Columbia Pictures,LD Entertainment,Affirm Films,Liddell Entertainment,Patrick Aiello",United States,English,"February 18, 2016"
https://www.the-numbers.com/movie/Eddie-the-Eagle#tab=summary,105 minutes,"Winter Sports,Olympics,Inspirational Sports,Skiing,Underdog,Sports Drama",Based on Real Life Events,Drama,Live Action,Dramatization,"MARV Films,Lionsgate,Saville Productions","United Kingdom,United States",English,"February 26, 2016"
https://www.the-numbers.com/movie/Boonie-Bears-III-(China)(2016)#tab=summary,96 minutes,"Family Adventure,Talking Animals,Animal Lead",Original Screenplay,Adventure,Digital Animation,Kids Fiction,,China,Mandarin,"January 15, 2016"
