link,Running Time,Genre,Production Method,Creative Type,Production Countries,Languages,Release Date,Production Budget,MPAA Rating,Production/Financing Companies,Franchise
https://www.the-numbers.com/movie/Your-Highness#tab=summary,102 minutes,Comedy,Live Action,Fantasy,United States,English,"April 08, 2011","$50,000,000","Rfor strong crude and sexual content, pervasive language, nudity, violence and some drug use(Rating bulletin 2114 (Cert #46040), 3/31/2010)","Stuber Pictures,Universal Pictures",
https://www.the-numbers.com/movie/Our-Idiot-Brother#tab=summary,95 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"August 26, 2011","$5,000,000","Rfor sexual content including nudity, and for language throughout(Rating bulletin 2178, 6/29/2011)","Big Beach,Likely Story",
https://www.the-numbers.com/movie/Elle-s-appelait-Sarah#tab=summary,106 minutes,Drama,Live Action,Contemporary Fiction,France,"English,French","July 22, 2011","$14,500,000","PGfor thematic material including disturbing situations involving the Holocaust.(Rating bulletin 2165, 3/30/2011)PG-13for thematic material including disturbing situations involving the Holocaust. (Re-rated after edit)(Rating bulletin 2181, 7/20/2011)","Hugo Productions,Studio 37,TF1 Droits Audiovisuels,France 2 Cinema,Canal Plus,TPS Star,France Television",
https://www.the-numbers.com/movie/Chinese-Ghost-Story-A-(2011-China)#tab=summary,100 minutes,Action,Live Action,Fantasy,"China,Hong Kong",Mandarin,"April 19, 2011",,,,
https://www.the-numbers.com/movie/Ivan-Tsarevich-i-Seryy-Volk#tab=summary,75 minutes,Action,Digital Animation,Contemporary Fiction,Russian Federation,Russian,"December 29, 2011",,,,Ivan Tsarevich i Seryy Volk
https://www.the-numbers.com/movie/Monsieur-Lazhar#tab=summary,94 minutes,Drama,Live Action,Contemporary Fiction,Canada,French,"October 28, 2011",,"PG-13for mature thematic material, a disturbing image and brief language.(Rating bulletin 2199, 11/23/2011)",Micro_Scope,
https://www.the-numbers.com/movie/Biutiful#tab=summary,138 minutes,Drama,Live Action,Contemporary Fiction,"Spain,Mexico",English,"January 21, 2010","$35,000,000","Rfor disturbing images, language, some sexual content, nudity and drug use.(Rating bulletin 2140, 9/29/2010)","Menage Atroz,Producciones Mod,Ikiru Films",
https://www.the-numbers.com/movie/I-Dont-Know-How-She-Does-It#tab=summary,89 minutes,Comedy,Live Action,Contemporary Fiction,United States,English,"September 16, 2011","$24,000,000","PG-13for sexual references throughout.(Rating bulletin 2189, 9/14/2011)",Weinstein Company,
https://www.the-numbers.com/movie/Pina-(Germany)#tab=summary,103 minutes,Documentary,Live Action,Factual,"Germany,France",German,"February 25, 2011",,"PGfor some sensuality/partial nudity and smoking.(Rating bulletin 2197, 11/9/2011)","HanWay Films,Neue Road",
https://www.the-numbers.com/movie/Jodaeiye-Nader-az-Simin#tab=summary,123 minutes,Drama,Live Action,Contemporary Fiction,Islamic Republic of Iran,Farsi,"December 30, 2011","$800,000","PG-13for mature thematic material.(Rating bulletin 2177, 6/22/2011)","Asghar Farhadi,Parasgard Bank,Asia Pacific Screen Awards",
https://www.the-numbers.com/movie/Eiga-Kaibutsu-kun#tab=summary,103 minutes,Adventure,Live Action,Fantasy,Japan,Japanese,"November 26, 2011",,,NTV,
https://www.the-numbers.com/movie/Warrior#tab=summary,139 minutes,Drama,Live Action,Contemporary Fiction,United States,English,"September 09, 2011","$25,000,000","PG-13for sequences of intense mixed martial arts fighting, some language and thematic material.(Rating bulletin 2149, 12/1/2010)","Mimran Schur Pictures,Lionsgate,Solaris Entertainment,Filmtribe",
https://www.the-numbers.com/movie/Anfea-The-Answer#tab=summary,109 minutes,Drama,Live Action,Contemporary Fiction,Japan,Japanese,"September 17, 2011",,,"Fuji Television Network,Japan Music Entertainment,Toho Co",
https://www.the-numbers.com/movie/Moteki#tab=summary,118 minutes,Romantic Comedy,Live Action,Contemporary Fiction,Japan,Japanese,"September 23, 2011",,,"Office Crescendo,TV Tokyo,Toho Co",
https://www.the-numbers.com/movie/Hoodwinked-2-Hood-vs-Evil#tab=summary,86 minutes,Adventure,Digital Animation,Kids Fiction,United States,English,"April 29, 2011","$30,000,000","PGFor some mild rude humor, language and action(Rating bulletin 2168, 4/20/2011)",Kanbar Entertainment,Hoodwinked
https://www.the-numbers.com/movie/femmes-du-6eme-etage-Les#tab=summary,106 minutes,Comedy,Live Action,Historical Fiction,France,French,"June 03, 2011",,Not Rated,"Vendome Pictures,France 2 Cinema",
